Track name,Artist name,Album,Playlist name,Type
爱你一万年,陈果,女人香,Chinese Pop,playlist
那就這樣吧,Power Station,超越巔峰繼續轉動演唱會 (Live),Chinese Pop,playlist
有空來坐坐,姜育恆,有空來坐坐,Chinese Pop,playlist
冬季校园,李晓东,校园民谣2,Chinese Pop,playlist
关于理想的课堂作文,李晓东,校园民谣2,Chinese Pop,playlist
红色天空,陈劲,校园民谣2,Chinese Pop,playlist
没有想法,李晓东,校园民谣2,Chinese Pop,playlist
哭砂,潘越雲,情歌‧潘越雲 - Unplugged原音再現,Chinese Pop,playlist
山伯臨終,鄭少秋,山伯臨終 / 昭君出塞,Chinese Pop,playlist
我本善良,溫兆倫,我本善良,Chinese Pop,playlist
你把我的女人帶走,溫兆倫,我本善良,Chinese Pop,playlist
月兒灣灣照九州,陳松伶,月兒彎彎照九洲,Chinese Pop,playlist
蘇州河邊,陳松伶,月兒彎彎照九洲,Chinese Pop,playlist
漁家女,陳松伶,月兒彎彎照九洲,Chinese Pop,playlist
夢中人,陳松伶,月兒彎彎照九洲,Chinese Pop,playlist
流金歲月,陳松伶,夢境成真,Chinese Pop,playlist
哭砂,潘越雲,情歌‧潘越雲 - Unplugged原音再現,Chinese Pop,playlist
驛動的心,潘越雲,情歌‧潘越雲 - Unplugged原音再現,Chinese Pop,playlist
明天你是否依然愛我,潘越雲,情歌‧潘越雲 - Unplugged原音再現,Chinese Pop,playlist
心痛的感覺,潘越雲,情歌‧潘越雲 - Unplugged原音再現,Chinese Pop,playlist
鍾愛一生,潘越雲,情歌‧潘越雲 - Unplugged原音再現,Chinese Pop,playlist